Country,Code,Product label,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019
Saudi Arabia,'071159,"Mushrooms and truffles, provisionally preserved, e.g., by sulphur dioxide gas, in brine, in ...",732,1621,917,94,266
Saudi Arabia,'071231,"Dried mushrooms of the genus ""Agaricus"", whole, cut, sliced, broken or in powder, but not further ...",81,66,85,169,246
Saudi Arabia,'071430,"Yams ""Dioscorea spp."", fresh, chilled, frozen or dried, whether or not sliced or in the form ...",8,13,52,170,213
Saudi Arabia,'070991,Fresh or chilled globe artichokes,25,174,53,75,180
Saudi Arabia,'071334,"Dried, shelled bambara beans ""Vigna subterranea or Voandzeia subterranea"", whether or not skinned ...",228,461,472,273,169
Saudi Arabia,'071151,"Mushrooms of the genus ""Agaricus"", provisionally preserved, e.g., by sulphur dioxide gas, in ...",473,53,267,22,147
Saudi Arabia,'070519,Fresh or chilled lettuce (excluding cabbage lettuce),354,650,523,1164,113
Saudi Arabia,'070930,"Fresh or chilled aubergines ""eggplants""",457,445,300,214,107
Saudi Arabia,'071335,"Dried, shelled cow peas ""Vigna unguiculata"", whether or not skinned or split",53,48,171,109,105
Saudi Arabia,'070992,Fresh or chilled olives,361,333,550,174,49
Saudi Arabia,'070521,Fresh or chilled witloof chicory,54,75,86,59,28
Saudi Arabia,'070529,Fresh or chilled chicory (excluding witloof chicory),17,3,0,11,28
Saudi Arabia,'071360,"Dried, shelled pigeon peas ""Cajanus cajan"", whether or not skinned or split",1068,391,1,28,11
Saudi Arabia,'071232,"Dried wood ears ""Auricularia spp."", whole, cut, sliced, broken or in powder, but not further ...",31,49,49,49,3
Saudi Arabia,'071233,"Dried jelly fungi ""Tremella spp."", whole, cut, sliced, broken or in powder, but not further ...",15,22,0,0,0
Saudi Arabia,'071230,"Dried mushrooms and truffles, whole, cut, sliced, broken or in powder, but not further prepared",0,0,0,0,0
Saudi Arabia,'071110,"Onions provisionally preserved, e.g. by sulphur dioxide gas, in brine, in sulphur water or ...",0,0,0,0,0
Saudi Arabia,'070990,"Fresh or chilled vegetables (excluding potatoes, tomatoes, vegetables of the Allium spp., cabbages ...",0,0,0,0,0
Saudi Arabia,'070910,Fresh or chilled globe artichokes,0,0,0,0,0
Saudi Arabia,'070952,Fresh or chilled truffles,0,0,0,0,0
