Country,Code,Product label,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019
UAE,'071332,"Dried, shelled small red ""Adzuki"" beans ""Phaseolus or Vigna angularis"", whether or not skinned ...",208,287,306,375,317
UAE,'071231,"Dried mushrooms of the genus ""Agaricus"", whole, cut, sliced, broken or in powder, but not further ...",366,228,298,329,311
UAE,'070529,Fresh or chilled chicory (excluding witloof chicory),301,360,318,353,275
UAE,'071159,"Mushrooms and truffles, provisionally preserved, e.g., by sulphur dioxide gas, in brine, in ...",54,119,37,71,82
UAE,'071232,"Dried wood ears ""Auricularia spp."", whole, cut, sliced, broken or in powder, but not further ...",33,3,3,11,58
UAE,'071140,"Cucumbers and gherkins provisionally preserved, e.g. by sulphur dioxide gas, in brine, in sulphur ...",59,24,27,49,51
UAE,'071233,"Dried jelly fungi ""Tremella spp."", whole, cut, sliced, broken or in powder, but not further ...",38,18,62,28,41
UAE,'071151,"Mushrooms of the genus ""Agaricus"", provisionally preserved, e.g., by sulphur dioxide gas, in ...",4,34,22,37,2
UAE,'071334,"Dried, shelled bambara beans ""Vigna subterranea or Voandzeia subterranea"", whether or not skinned ...",0,11,4,4,2
UAE,'071450,"Yautia ""Xanthosoma spp."", fresh, chilled, frozen or dried, whether or not sliced or in the ...",10,9,9,2,0
UAE,'071130,"Capers provisionally preserved, e.g. by sulphur dioxide gas, in brine, in sulphur water or ...",0,0,0,0,0
UAE,'070910,Fresh or chilled globe artichokes,0,0,0,0,0
UAE,'070952,Fresh or chilled truffles,0,0,0,0,0
UAE,'070990,"Fresh or chilled vegetables (excluding potatoes, tomatoes, vegetables of the Allium spp., cabbages ...",0,0,29,0,0
