Country,Code,Product label,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019
Bahrain,'070991,Fresh or chilled globe artichokes,12,21,36,41,5
Bahrain,'071151,"Mushrooms of the genus ""Agaricus"", provisionally preserved, e.g., by sulphur dioxide gas, in ...",31,28,75,47,5
Bahrain,'071140,"Cucumbers and gherkins provisionally preserved, e.g. by sulphur dioxide gas, in brine, in sulphur ...",24,36,48,106,4
Bahrain,'071332,"Dried, shelled small red ""Adzuki"" beans ""Phaseolus or Vigna angularis"", whether or not skinned ...",71,111,105,41,3
Bahrain,'071334,"Dried, shelled bambara beans ""Vigna subterranea or Voandzeia subterranea"", whether or not skinned ...",2,1,0,0,
Bahrain,'071159,"Mushrooms and truffles, provisionally preserved, e.g., by sulphur dioxide gas, in brine, in ...",15,24,14,34,
Bahrain,'071232,"Dried wood ears ""Auricularia spp."", whole, cut, sliced, broken or in powder, but not further ...",2,2,2,1,
Bahrain,'071233,"Dried jelly fungi ""Tremella spp."", whole, cut, sliced, broken or in powder, but not further ...",0,3,7,0,
Bahrain,'071230,"Dried mushrooms and truffles, whole, cut, sliced, broken or in powder, but not further prepared",0,0,0,0,
Bahrain,'071130,"Capers provisionally preserved, e.g. by sulphur dioxide gas, in brine, in sulphur water or ...",0,0,0,0,
Bahrain,'071110,"Onions provisionally preserved, e.g. by sulphur dioxide gas, in brine, in sulphur water or ...",0,0,0,0,
Bahrain,'070990,"Fresh or chilled vegetables (excluding potatoes, tomatoes, vegetables of the Allium spp., cabbages ...",2,0,0,0,
Bahrain,'070952,Fresh or chilled truffles,0,0,0,0,
Bahrain,'070910,Fresh or chilled globe artichokes,0,0,0,0,
